Name,Link
b and c b-complex tablet (OTC),https://www.webmd.com/drugs/2/drug-10607-9038/b-and-c-b-complex-tablet/details
b and c capsule (),https://www.webmd.com/drugs/2/drug-58561-9038/b-and-c-capsule/details
b and c capsule (),https://www.webmd.com/drugs/2/drug-8320-9038/b-and-c-capsule/details
b and o 15-a supprette suppository (RX),https://www.webmd.com/drugs/2/drug-1342-278/b-and-o-15-a-supprette-suppository/details
b and o 16-a supprette suppository (RX),https://www.webmd.com/drugs/2/drug-6371-278/b-and-o-16-a-supprette-suppository/details
b complete tablet (OTC),https://www.webmd.com/drugs/2/drug-17734-6106/b-complete/details
b complex (),https://www.webmd.com/drugs/2/drug-58482-6106/b-complex/details
b complex + c tablet, extended release (),https://www.webmd.com/drugs/2/drug-58677-6106/b-complex-c-tablet-er/details
b complex 1 (with folic acid) 0.4 mg tablet multivitamins (),https://www.webmd.com/drugs/2/drug-178013-6106/b-complex-number-1/details
b complex 1 tablet (),https://www.webmd.com/drugs/2/drug-20923-6106/b-complex-1/details
b complex 100 cr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-151267-6106/b-complex-100-cr-tablet-er/details
b complex 100 tablet (RX/OTC),https://www.webmd.com/drugs/2/drug-1967-6106/b-complex-100-tablet/details
b complex 100 tr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-1246-6106/b-complex-100-tr-tablet-er/details
b complex 50 tablet (OTC),https://www.webmd.com/drugs/2/drug-1969-6106/b-complex-50-tablet/details
b complex b-12 tablet (),https://www.webmd.com/drugs/2/drug-1970-6106/b-complex-b-12-tablet/details
b complex c tablet (),https://www.webmd.com/drugs/2/drug-58665-9038/b-complex-c-tablet/details
b complex formula #1 tablet (),https://www.webmd.com/drugs/2/drug-64173-6106/b-complex-formula-1-tablet/details
b complex formula 1 tablet (),https://www.webmd.com/drugs/2/drug-1971-6106/b-complex-formula-1-tablet/details
b complex mega tablet (OTC),https://www.webmd.com/drugs/2/drug-1972-6106/b-complex-mega-tablet/details
b complex plus vitamin c tablet (),https://www.webmd.com/drugs/2/drug-1973-9038/b-complex-plus-vitamin-c-tablet/details
b complex super tablet (OTC),https://www.webmd.com/drugs/2/drug-1974-6106/b-complex-super-tablet/details
b complex tablet (OTC),https://www.webmd.com/drugs/2/drug-1966-6106/b-complex/details
b complex vitamin plus tablet (RX),https://www.webmd.com/drugs/2/drug-1975-9038/b-complex-vitamin-plus-tablet/details
b complex vitamin tablet (OTC),https://www.webmd.com/drugs/2/drug-58451-6106/b-complex-vitamin-tablet/details
